t,x,Date,weekday
18353,138,01/04/2020,Wednesday
18354,131,02/04/2020,Thursday
18355,147,03/04/2020,Friday
18356,71,04/04/2020,Saturday
18357,104,05/04/2020,Sunday
18358,204,06/04/2020,Monday
18359,155,07/04/2020,Tuesday
18360,181,08/04/2020,Wednesday
18361,209,09/04/2020,Thursday
18362,128,10/04/2020,Friday
18363,112,11/04/2020,Saturday
18364,82,12/04/2020,Sunday
18365,109,13/04/2020,Monday
18366,170,14/04/2020,Tuesday
18367,213,15/04/2020,Wednesday
18368,236,16/04/2020,Thursday
18369,187,17/04/2020,Friday
18370,69,18/04/2020,Saturday
18371,63,19/04/2020,Sunday
18372,167,20/04/2020,Monday
18373,186,21/04/2020,Tuesday
18374,157,22/04/2020,Wednesday
18375,177,23/04/2020,Thursday
18376,160,24/04/2020,Friday
18377,74,25/04/2020,Saturday
18378,40,26/04/2020,Sunday
18379,147,27/04/2020,Monday
18380,148,28/04/2020,Tuesday
18381,134,29/04/2020,Wednesday
18382,132,30/04/2020,Thursday
18383,131,01/05/2020,Friday
18384,58,02/05/2020,Saturday
18385,33,03/05/2020,Sunday
18386,127,04/05/2020,Monday
18387,103,05/05/2020,Tuesday
18388,77,06/05/2020,Wednesday
18389,99,07/05/2020,Thursday
18390,40,08/05/2020,Friday
18391,32,09/05/2020,Saturday
18392,25,10/05/2020,Sunday
18393,87,11/05/2020,Monday
18394,68,12/05/2020,Tuesday
18395,62,13/05/2020,Wednesday
18396,73,14/05/2020,Thursday
18397,48,15/05/2020,Friday
18398,21,16/05/2020,Saturday
18399,11,17/05/2020,Sunday
18400,53,18/05/2020,Monday
18401,45,19/05/2020,Tuesday
18402,53,20/05/2020,Wednesday
18403,64,21/05/2020,Thursday
18404,42,22/05/2020,Friday
18405,11,23/05/2020,Saturday
18406,15,24/05/2020,Sunday
18407,13,25/05/2020,Monday
18408,34,26/05/2020,Tuesday
18409,37,27/05/2020,Wednesday
18410,19,28/05/2020,Thursday
18411,18,29/05/2020,Friday
18412,16,30/05/2020,Saturday
18413,12,31/05/2020,Sunday
18414,27,01/06/2020,Monday
18415,23,02/06/2020,Tuesday
18416,24,03/06/2020,Wednesday
18417,27,04/06/2020,Thursday
18418,34,05/06/2020,Friday
18419,21,06/06/2020,Saturday
18420,25,07/06/2020,Sunday
18421,34,08/06/2020,Monday
18422,35,09/06/2020,Tuesday
18423,26,10/06/2020,Wednesday
18424,23,11/06/2020,Thursday
18425,36,12/06/2020,Friday
18426,32,13/06/2020,Saturday
18427,23,14/06/2020,Sunday
18428,21,15/06/2020,Monday
18429,21,16/06/2020,Tuesday
18430,27,17/06/2020,Wednesday
18431,30,18/06/2020,Thursday
18432,44,19/06/2020,Friday
18433,29,20/06/2020,Saturday
18434,20,21/06/2020,Sunday
18435,27,22/06/2020,Monday
18436,25,23/06/2020,Tuesday
18437,18,24/06/2020,Wednesday
18438,17,25/06/2020,Thursday
18439,25,26/06/2020,Friday
18440,22,27/06/2020,Saturday
18441,21,28/06/2020,Sunday
18442,28,29/06/2020,Monday
18443,18,30/06/2020,Tuesday
18444,20,01/07/2020,Wednesday
18445,24,02/07/2020,Thursday
18446,18,03/07/2020,Friday
18447,13,04/07/2020,Saturday
18448,11,05/07/2020,Sunday
18449,19,06/07/2020,Monday
18450,16,07/07/2020,Tuesday
18451,32,08/07/2020,Wednesday
18452,36,09/07/2020,Thursday
18453,36,10/07/2020,Friday
18454,22,11/07/2020,Saturday
18455,20,12/07/2020,Sunday
18456,33,13/07/2020,Monday
18457,31,14/07/2020,Tuesday
18458,25,15/07/2020,Wednesday
18459,23,16/07/2020,Thursday
18460,38,17/07/2020,Friday
18461,19,18/07/2020,Saturday
18462,22,19/07/2020,Sunday
18463,42,20/07/2020,Monday
18464,31,21/07/2020,Tuesday
18465,26,22/07/2020,Wednesday
18466,31,23/07/2020,Thursday
18467,37,24/07/2020,Friday
18468,37,25/07/2020,Saturday
18469,28,26/07/2020,Sunday
18470,45,27/07/2020,Monday
18471,28,28/07/2020,Tuesday
18472,33,29/07/2020,Wednesday
18473,41,30/07/2020,Thursday
18474,72,31/07/2020,Friday
18475,41,01/08/2020,Saturday
18476,47,02/08/2020,Sunday
18477,71,03/08/2020,Monday
18478,61,04/08/2020,Tuesday
18479,60,05/08/2020,Wednesday
18480,51,06/08/2020,Thursday
18481,79,07/08/2020,Friday
18482,50,08/08/2020,Saturday
18483,57,09/08/2020,Sunday
18484,93,10/08/2020,Monday
18485,43,11/08/2020,Tuesday
18486,51,12/08/2020,Wednesday
18487,53,13/08/2020,Thursday
18488,70,14/08/2020,Friday
18489,54,15/08/2020,Saturday
18490,45,16/08/2020,Sunday
18491,84,17/08/2020,Monday
18492,64,18/08/2020,Tuesday
18493,50,19/08/2020,Wednesday
18494,68,20/08/2020,Thursday
18495,58,21/08/2020,Friday
18496,56,22/08/2020,Saturday
18497,44,23/08/2020,Sunday
18498,78,24/08/2020,Monday
18499,71,25/08/2020,Tuesday
18500,67,26/08/2020,Wednesday
18501,45,27/08/2020,Thursday
18502,47,28/08/2020,Friday
18503,28,29/08/2020,Saturday
18504,32,30/08/2020,Sunday
18505,49,31/08/2020,Monday
18506,44,01/09/2020,Tuesday
18507,62,02/09/2020,Wednesday
18508,41,03/09/2020,Thursday
18509,56,04/09/2020,Friday
18510,59,05/09/2020,Saturday
18511,72,06/09/2020,Sunday
18512,160,07/09/2020,Monday
18513,176,08/09/2020,Tuesday
18514,165,09/09/2020,Wednesday
18515,148,10/09/2020,Thursday
18516,160,11/09/2020,Friday
18517,81,12/09/2020,Saturday
18518,66,13/09/2020,Sunday
18519,131,14/09/2020,Monday
18520,136,15/09/2020,Tuesday
18521,123,16/09/2020,Wednesday
18522,119,17/09/2020,Thursday
18523,94,18/09/2020,Friday
18524,81,19/09/2020,Saturday
18525,51,20/09/2020,Sunday
18526,74,21/09/2020,Monday
18527,87,22/09/2020,Tuesday
18528,107,23/09/2020,Wednesday
18529,86,24/09/2020,Thursday
18530,104,25/09/2020,Friday
18531,52,26/09/2020,Saturday
18532,55,27/09/2020,Sunday
18533,88,28/09/2020,Monday
18534,85,29/09/2020,Tuesday
18535,88,30/09/2020,Wednesday
18536,87,01/10/2020,Thursday
18537,90,02/10/2020,Friday
18538,55,03/10/2020,Saturday
18539,59,04/10/2020,Sunday
18540,125,05/10/2020,Monday
18541,127,06/10/2020,Tuesday
18542,116,07/10/2020,Wednesday
18543,125,08/10/2020,Thursday
18544,116,09/10/2020,Friday
18545,67,10/10/2020,Saturday
18546,103,11/10/2020,Sunday
18547,122,12/10/2020,Monday
18548,122,13/10/2020,Tuesday
18549,107,14/10/2020,Wednesday
18550,111,15/10/2020,Thursday
18551,82,16/10/2020,Friday
18552,106,17/10/2020,Saturday
18553,78,18/10/2020,Sunday
18554,129,19/10/2020,Monday
18555,129,20/10/2020,Tuesday
18556,125,21/10/2020,Wednesday
18557,106,22/10/2020,Thursday
18558,134,23/10/2020,Friday
18559,79,24/10/2020,Saturday
18560,81,25/10/2020,Sunday
18561,98,26/10/2020,Monday
18562,130,27/10/2020,Tuesday
18563,120,28/10/2020,Wednesday
18564,107,29/10/2020,Thursday
18565,97,30/10/2020,Friday
18566,58,31/10/2020,Saturday
18567,50,01/11/2020,Sunday
18568,125,02/11/2020,Monday
18569,117,03/11/2020,Tuesday
18570,90,04/11/2020,Wednesday
18571,82,05/11/2020,Thursday
18572,147,06/11/2020,Friday
18573,62,07/11/2020,Saturday
18574,94,08/11/2020,Sunday
18575,138,09/11/2020,Monday
18576,101,10/11/2020,Tuesday
18577,99,11/11/2020,Wednesday
18578,135,12/11/2020,Thursday
18579,148,13/11/2020,Friday
18580,93,14/11/2020,Saturday
18581,82,15/11/2020,Sunday
18582,133,16/11/2020,Monday
18583,112,17/11/2020,Tuesday
18584,78,18/11/2020,Wednesday
18585,98,19/11/2020,Thursday
18586,109,20/11/2020,Friday
18587,41,21/11/2020,Saturday
18588,56,22/11/2020,Sunday
18589,112,23/11/2020,Monday
18590,81,24/11/2020,Tuesday
18591,74,25/11/2020,Wednesday
18592,80,26/11/2020,Thursday
18593,84,27/11/2020,Friday
18594,52,28/11/2020,Saturday
18595,43,29/11/2020,Sunday
18596,89,30/11/2020,Monday
18597,47,01/12/2020,Tuesday
18598,46,02/12/2020,Wednesday
18599,62,03/12/2020,Thursday
18600,58,04/12/2020,Friday
18601,52,05/12/2020,Saturday
18602,43,06/12/2020,Sunday
18603,105,07/12/2020,Monday
18604,81,08/12/2020,Tuesday
18605,60,09/12/2020,Wednesday
18606,64,10/12/2020,Thursday
18607,89,11/12/2020,Friday
18608,49,12/12/2020,Saturday
18609,60,13/12/2020,Sunday
18610,114,14/12/2020,Monday
18611,93,15/12/2020,Tuesday
18612,74,16/12/2020,Wednesday
18613,92,17/12/2020,Thursday
18614,92,18/12/2020,Friday
18615,52,19/12/2020,Saturday
18616,57,20/12/2020,Sunday
18617,127,21/12/2020,Monday
18618,132,22/12/2020,Tuesday
18619,92,23/12/2020,Wednesday
18620,130,24/12/2020,Thursday
18621,31,25/12/2020,Friday
18622,53,26/12/2020,Saturday
18623,87,27/12/2020,Sunday
18624,105,28/12/2020,Monday
18625,172,29/12/2020,Tuesday
18626,181,30/12/2020,Wednesday
18627,192,31/12/2020,Thursday
18628,117,01/01/2021,Friday
18629,106,02/01/2021,Saturday
18630,95,03/01/2021,Sunday
18631,201,04/01/2021,Monday
18632,244,05/01/2021,Tuesday
18633,197,06/01/2021,Wednesday
18634,189,07/01/2021,Thursday
18635,178,08/01/2021,Friday
18636,110,09/01/2021,Saturday
18637,108,10/01/2021,Sunday
18638,250,11/01/2021,Monday
18639,188,12/01/2021,Tuesday
18640,182,13/01/2021,Wednesday
18641,174,14/01/2021,Thursday
18642,181,15/01/2021,Friday
18643,129,16/01/2021,Saturday
18644,98,17/01/2021,Sunday
18645,177,18/01/2021,Monday
18646,147,19/01/2021,Tuesday
18647,178,20/01/2021,Wednesday
18648,140,21/01/2021,Thursday
18649,152,22/01/2021,Friday
18650,101,23/01/2021,Saturday
18651,97,24/01/2021,Sunday
18652,130,25/01/2021,Monday
