t,x,Date,weekday
1,138,01/04/2020,Wednesday
2,131,02/04/2020,Thursday
3,147,03/04/2020,Friday
4,71,04/04/2020,Saturday
5,104,05/04/2020,Sunday
6,204,06/04/2020,Monday
7,155,07/04/2020,Tuesday
8,181,08/04/2020,Wednesday
9,209,09/04/2020,Thursday
10,128,10/04/2020,Friday
11,112,11/04/2020,Saturday
12,82,12/04/2020,Sunday
13,109,13/04/2020,Monday
14,170,14/04/2020,Tuesday
15,213,15/04/2020,Wednesday
16,236,16/04/2020,Thursday
17,187,17/04/2020,Friday
18,69,18/04/2020,Saturday
19,63,19/04/2020,Sunday
20,167,20/04/2020,Monday
21,186,21/04/2020,Tuesday
22,157,22/04/2020,Wednesday
23,177,23/04/2020,Thursday
24,160,24/04/2020,Friday
25,74,25/04/2020,Saturday
26,40,26/04/2020,Sunday
27,147,27/04/2020,Monday
28,148,28/04/2020,Tuesday
29,134,29/04/2020,Wednesday
30,132,30/04/2020,Thursday
31,131,01/05/2020,Friday
32,58,02/05/2020,Saturday
33,33,03/05/2020,Sunday
34,127,04/05/2020,Monday
35,103,05/05/2020,Tuesday
36,77,06/05/2020,Wednesday
37,99,07/05/2020,Thursday
38,40,08/05/2020,Friday
39,32,09/05/2020,Saturday
40,25,10/05/2020,Sunday
41,87,11/05/2020,Monday
42,68,12/05/2020,Tuesday
43,62,13/05/2020,Wednesday
44,73,14/05/2020,Thursday
45,48,15/05/2020,Friday
46,21,16/05/2020,Saturday
47,11,17/05/2020,Sunday
48,53,18/05/2020,Monday
49,45,19/05/2020,Tuesday
50,53,20/05/2020,Wednesday
51,64,21/05/2020,Thursday
52,42,22/05/2020,Friday
53,11,23/05/2020,Saturday
54,15,24/05/2020,Sunday
55,13,25/05/2020,Monday
56,34,26/05/2020,Tuesday
57,37,27/05/2020,Wednesday
58,19,28/05/2020,Thursday
59,18,29/05/2020,Friday
60,16,30/05/2020,Saturday
61,12,31/05/2020,Sunday
62,27,01/06/2020,Monday
63,23,02/06/2020,Tuesday
64,24,03/06/2020,Wednesday
65,27,04/06/2020,Thursday
66,34,05/06/2020,Friday
67,21,06/06/2020,Saturday
68,25,07/06/2020,Sunday
69,34,08/06/2020,Monday
70,35,09/06/2020,Tuesday
71,26,10/06/2020,Wednesday
72,23,11/06/2020,Thursday
73,36,12/06/2020,Friday
74,32,13/06/2020,Saturday
75,23,14/06/2020,Sunday
76,21,15/06/2020,Monday
77,21,16/06/2020,Tuesday
78,27,17/06/2020,Wednesday
79,30,18/06/2020,Thursday
80,44,19/06/2020,Friday
81,29,20/06/2020,Saturday
82,20,21/06/2020,Sunday
83,27,22/06/2020,Monday
84,25,23/06/2020,Tuesday
85,18,24/06/2020,Wednesday
86,17,25/06/2020,Thursday
